customer_name,customer_email,product_name,issue_description,opening_date,criticality
Ana Luísa Schmidt,ana.schmidt@bancoseguro.com.br,RiskGen,"Dificuldade na manutenção do versionamento de prompts e modelos no RiskGen, resultando em uma taxa de fallback de 18% para versões anteriores nos últimos 3 meses. Esse problema tem afetado aproximadamente 30% dos usuários corporativos do banco, ocorrendo com maior frequência durante janelas de deploy entre 02:00 e 04:00 AM, impactando diretamente as análises automáticas de risco regulatório e compliance. A complexidade crescente dos modelos fine-tunados e a ausência de monitoramento granular têm dificultado o rollback seguro, aumentando o tempo médio de recuperação para 45 minutos por incidente e ocasionando uma perda estimada de R$ 150 mil em eficiência operacional mensalmente. É necessário aprimorar o sistema de versionamento com controle de alterações e testes automatizados para garantir performance e acurácia contínuas.",2025-04-15,Alta
Lucas Fernando Cavalcanti,lucas.cavalcanti@edutec.io,EduMentor AI,"Problema único e específico do cliente: Falha na integração via API REST com o LMS ""EduClassPro"" que afeta 25% das atualizações de progresso do aluno. Observamos que durante os horários pico de uso (entre 18h e 21h, horário de Brasília), há uma latência acima de 850ms nas respostas da API, resultando em timeouts e erros de sincronização. Esta falha foi detectada 37 vezes no último mês em requisições de PATCH ao endpoint /student/progress. O impacto financeiro estimado para a Edutec é de R$ 48.000,00 mensais devido à perda de confiança dos usuários e necessidade de suporte técnico adicional. O problema está relacionado à limitação atual do cluster Kubernetes que suporta o serviço de orquestração das APIs, que não está escalando automaticamente conforme o aumento do volume de requisições simultâneas. Logs do ELK Stack indicam que a taxa de erros 504 Gateway Timeout está diretamente correlacionada com picos de CPU acima de 75% nas máquinas que hospedam os microsserviços de integração. Além disso, a falha afeta diretamente a experiência de alunos e professores no monitoramento de progresso, levando a desatualizações em planos de ensino adaptativos, impactando a personalização de conteúdo e métricas de sucesso educacional.",2025-04-10,Alta
Lucas Eduardo Cavalcanti,lucas.cavalcanti@banco.com.br,FinBrain,"Problemas específicos na conexão via APIs REST com sistemas terceiros têm causado quedas de até 20 minutos na atualização dos dados financeiros no FinBrain. Tais falhas ocorreram 15 vezes no último mês, concentrando-se predominantemente nos dias úteis às 10h e 15h, horários críticos para geração dos relatórios de fluxo de caixa. Estima-se que 12% dos clientes corporativos que utilizam o módulo de integração de dados financeiros sejam afetados, resultando em impactos diretos na precisão e atualidade dos insights financeiros. O impacto financeiro para a nossa instituição cliente está estimado em R$ 150.000,00 em perdas operacionais devido a decisões baseadas em dados desatualizados. Recomendamos análise detalhada do sistema de orquestração Kubernetes e otimização da latência nas chamadas API para garantir a continuidade e alta disponibilidade exigidas pelo FinBrain.",2025-04-18,Alta
Fernanda Costa Oliveira,fernanda.oliveira@educorp.com.br,EduMentor AI,"Requisitos Funcionais:
- Capacidade de adaptar o conteúdo educacional ao nível e ritmo individual do aluno.
- Geração dinâmica de explicações, exemplos e exercícios personalizados.
- Interface de interação intuitiva para alunos e professores.
- Monitoramento do progresso do aluno e ajuste contínuo do plano de ensino.
- Integração com plataformas educacionais existentes via APIs.
- Suporte para múltiplos idiomas e áreas do conhecimento.

Requisitos Não Funcionais:
- Alta disponibilidade e baixa latência nas respostas.
- Segurança dos dados conforme padrões internacionais de privacidade (ex. GDPR).
- Escalabilidade para suportar milhares de usuários simultâneos.
- Manutenção facilitada e implementação contínua via CI/CD.

Detalhes Técnicos:
- Ferramentas usadas: Modelos de linguagem baseados em arquiteturas Transformers, como GPT, ajustados para domínios de educação.
- Abordagem: Aprendizado adaptativo com feedback contínuo baseado em performance do aluno.
- Integrações: APIs REST para integração com LMS (Learning Management Systems), bases de dados educacionais, e sistemas corporativos de RH.
- Observabilidade: Uso de ferramentas de monitoramento como Prometheus e Grafana para métricas de desempenho e logs centralizados via ELK Stack.
- Deploy: Containerização via Docker, orquestração via Kubernetes, possibilitando atualização azul-verde e escalonamento automático conforme carga.
- Fonte de Dados: Conteúdo didático multidisciplinar licenciado e bases públicas de conhecimento educacional.
- Privacidade: Dados dos alunos armazenados criptografados, com políticas estritas de acesso e anonimização para uso em treinamentos futuros.
- Escalabilidade: Arquitetura microsserviços para suportar alto volume de requests e processamento paralelo, com otimização de uso de memória e balanceamento de carga.
- Versionamento: Controle rigoroso de versões de prompts e modelos via repositórios Git e pipelines automatizados para treinamento e deployment.

Problema específico: Alta latência nas respostas durante horários de pico, impactando cerca de 40% dos usuários ativos especificamente nas regiões Sudeste e Sul durante aulas noturnas (19h às 22h) e finais de semana (14h às 20h). Monitoramento via Grafana indica que a latência média das requisições ultrapassa 1.8 segundos nesses períodos, contra a meta de 500ms estabelecida nos SLAs internos. O problema resultou em aumento de churn estimado em 15% para clientes corporativos na base da EduCorp, com impacto financeiro aproximado de R$120.000 mensais devido à perda de contratos e reclamações que demandam suporte adicional. Foram registrados 35 incidentes de degradação de desempenho no último mês, principalmente associados a picos de uso simultâneo acima de 5.000 conexões ativas, indicando necessidade urgente de otimização da orquestração Kubernetes e escalonamento automático.",2025-03-15,Alta
Roberto Carlos Nogueira,roberto.nogueira@financorp.com.br,RiskGen,"O cliente Roberto Carlos Nogueira, da Financorp, reporta incidentes frequentes de timeouts na geração dos relatórios técnicos de auditoria regulatória pelo RiskGen. Observou-se que cerca de 10% das operações de geração de relatórios falham devido a timeouts, principalmente no horário das 14h às 17h, que corresponde ao pico de processamento no ambiente corporativo do cliente. Isso impacta diretamente a entrega dos pareceres técnicos, atrasando ciclos de compliance e auditoria em até 2 horas por incidente, gerando um custo financeiro estimado de R$ 50.000,00 mensais em retrabalho e horas extras. O problema está associado à latência alta e sobrecarga do pipeline paralelo de análise semântica e sumarização automática, evidenciando necessidade urgente de otimização da escalabilidade do processamento distribuído e balanceamento de carga no cluster Kubernetes. Adicionalmente, foram detectadas falhas esporádicas no versionamento dos modelos que podem estar agravando a instabilidade dos processos críticos.",2025-04-15,Alta
Marcelo Tadeu Oliveira,marcelo.oliveira@financorp.com.br,RiskGen,"O cliente Marcelo Tadeu Oliveira, responsável pela área de compliance da Financorp, relata que o RiskGen apresenta baixa precisão na detecção de cláusulas de risco em contratos extensos. Dados coletados dos últimos 90 dias indicam que aproximadamente 12% das análises contratuais automáticas falharam na identificação correta de cláusulas críticas, resultando em revisões manuais adicionais e atrasos significativos nos processos de auditoria interna. Essas falhas são mais comuns em contratos acima de 250 páginas, especialmente com linguagem jurídica complexa e múltiplas cláusulas condicionais. Além disso, os picos de erro ocorrem predominantemente entre 14h e 18h, período de maior carga no sistema, sugerindo possível sobrecarga computacional ou limitação do modelo NLP implementado. O impacto financeiro estimado da baixa precisão chega a R$ 180.000,00 mensais devido a custos extras de auditoria e possíveis riscos regulatórios não detectados a tempo. O problema foi registrado em 27 incidentes distintos durante o último trimestre, afetando diretamente 4 equipes de compliance e análise jurídica da empresa. Solicitamos uma revisão urgente nos modelos de reconhecimento de entidades nomeadas e ajustes na parametrização dos pipelines de pré-processamento para melhorar a acurácia e performance do sistema.",2025-04-10,Alta
Lucas Henrique Cavalcanti,lucas.cavalcanti@educorp.com.br,EduMentor AI,"Relato detalhado dos problemas detectados no EduMentor AI:

1. Alta latência nas respostas durante horários de pico: Observamos que aproximadamente 40% dos alunos ativos enfrentam tempos de resposta acima de 3 segundos entre 19h e 22h nos dias de semana, e entre 14h e 20h aos finais de semana. Essa latência elevada é crítica para a experiência do usuário, especialmente durante explicações dinâmicas e geração de exercícios personalizados, impactando diretamente o engajamento dos alunos.

2. Impacto financeiro direto: A latência prolongada tem causado queda de 15% na renovação de contratos com escolas parceiras, estimando um impacto financeiro negativo de R$ 250.000,00 no último trimestre, devido à insatisfação e cancelamentos relacionados à performance do sistema.

3. Frequência do problema: Foram registrados mais de 120 incidentes de resposta lenta nas últimas 4 semanas, com picos concentrados em horários de maior uso, evidenciando a necessidade urgente de otimização do balanceamento de carga e escalabilidade dos microsserviços.

4. Integração com plataformas educacionais via APIs REST: Alguns endpoints de integração apresentam tempo de latência médio de 700ms acima do esperado durante picos de uso, afetando a sincronização de dados entre EduMentor AI e LMS parceiros, o que resulta em desatualização dos planos de ensino adaptativos.

5. Monitoramento e observabilidade: Os dashboards do Prometheus indicam aumento significativo na utilização da CPU e memória das instâncias Kubernetes durante horários críticos, chegando a 90% de uso, o que contribui para o comprometimento da performance do sistema.

Solicitamos uma análise aprofundada do cluster Kubernetes, otimização do escalonamento automático e revisão das estratégias de cache para mitigar estes problemas de latência e garantir a estabilidade do EduMentor AI para nossos usuários finais.",2025-04-18,Alta
Carlos Eduardo Nogueira,carlos.nogueira@mediclinica.com.br,ClinicaGPT,"Requisitos Funcionais:
1. Organização de Informações: Capacidade de extrair, categorizar e recuperar informações clínicas relevantes a partir de prontuários e bases de dados médicas.
2. Consulta a Protocolos: Consulta rápida e precisa a protocolos clínicos atualizados, com busca por palavras-chave e filtros por especialidade.
3. Elaboração de Documentos Clínicos: Geração automática de documentos como anotações de evoluções, relatórios médicos e prescrições, com personalização conforme o contexto do paciente.
4. Interação em Linguagem Natural: Interface conversacional baseada em NLP para comunicação intuitiva com profissionais de saúde.
5. Controle de Responsabilidade Clínica: Evidência clara de que as decisões finais são do profissional de saúde, mantendo registro das interações.

Requisitos Não Funcionais:
1. Segurança e Privacidade: Criptografia de dados em trânsito e repouso, conformidade com LGPD e outras normas de saúde.
2. Alta Disponibilidade e Escalabilidade: Suporte para múltiplos usuários simultâneos, com balanceamento de carga e escalonamento automático.
3. Baixa Latência: Respostas rápidas para consultas interativas, idealmente abaixo de 500ms.
4. Auditabilidade: Registro completo de interações e geração de logs para auditorias clínicas.

Detalhes Técnicos:
- Ferramentas Usadas: Backend em Python com FastAPI para rápida construção de APIs; Frontend React para interface responsiva.
- Modelos Usados: Modelos base LLM otimizados para linguagem médica e clínica, treinados com datasets médicos anotados e proteção de dados.
- Abordagem: Uso de técnicas de aprendizado supervisionado e fine-tuning de modelos base em linguagem natural para contexto clínico.
- Integrações: Integração com sistemas de prontuário eletrônico (EHR) via HL7 FHIR; conexão com bases de dados de protocolos atualizados.
- Observabilidade: Monitoramento via Prometheus, logs estruturados com ELK Stack, alertas configurados para falhas e desempenho.
- Deploy: Contêineres Docker orquestrados em Kubernetes com autoescalonamento e replicação multinuvem para resiliência.
- Fonte de Dados: Dados clínicos autorizados e anonimizados armazenados em bancos NoSQL e relacionais com políticas rígidas de acesso.
- Privacidade: Controle de acesso baseado em RBAC, anonimização de dados sensíveis, sessões criptografadas.
- Escalabilidade: Capacidade para suportar até milhares de requisições simultâneas, otimização de memória via técnicas de batching e cache inteligente.
- Versionamento: Uso de Git para versionamento de código; armazenamento de versões de prompts e modelos via MLflow e DVC para rastreabilidade.

Problema específico: Latência superior a 500ms em ambientes de alta carga, prejudicando a interação em consultas emergenciais ou na elaboração de documentos rápidos. Impactos detalhados:
- Afeta 12% dos usuários ativos simultaneamente durante picos de uso entre 18h e 22h.
- Ocorrência média de 45 eventos diários de latência elevada apenas na unidade de São Paulo.
- Impacto financeiro estimado em R$ 25.000/mês devido a atrasos que geram retrabalho e insatisfação dos profissionais de saúde.
- Logs do Prometheus indicam aumento de tempo médio de resposta de APIs de 480ms para até 720ms em picos.
- O problema ocorre predominantemente em consultas que envolvem geração automática de documentos clínicos (notas de evolução e prescrições).
- Alertas frequentes configurados no ELK Stack indicam falhas temporárias de cache, afetando a otimização de memória e aumentando o tempo de processamento.
- Participação de 30% das requisições afetadas durante consultas emergenciais, comprometendo fluxos críticos de atendimento.",2025-04-15,Alta
Fernanda Lima da Silva,fernanda.lima@educorp.com.br,EduMentor AI,"Requisitos Funcionais:
- Capacidade de adaptar o conteúdo educacional ao nível e ritmo individual do aluno.
- Geração dinâmica de explicações, exemplos e exercícios personalizados.
- Interface de interação intuitiva para alunos e professores.
- Monitoramento do progresso do aluno e ajuste contínuo do plano de ensino.
- Integração com plataformas educacionais existentes via APIs.
- Suporte para múltiplos idiomas e áreas do conhecimento.

Requisitos Não Funcionais:
- Alta disponibilidade e baixa latência nas respostas.
- Segurança dos dados conforme padrões internacionais de privacidade (ex. GDPR).
- Escalabilidade para suportar milhares de usuários simultâneos.
- Manutenção facilitada e implementação contínua via CI/CD.

Detalhes Técnicos:
- Ferramentas usadas: Modelos de linguagem baseados em arquiteturas Transformers, como GPT, ajustados para domínios de educação.
- Abordagem: Aprendizado adaptativo com feedback contínuo baseado em performance do aluno.
- Integrações: APIs REST para integração com LMS (Learning Management Systems), bases de dados educacionais, e sistemas corporativos de RH.
- Observabilidade: Uso de ferramentas de monitoramento como Prometheus e Grafana para métricas de desempenho e logs centralizados via ELK Stack.
- Deploy: Containerização via Docker, orquestração via Kubernetes, possibilitando atualização azul-verde e escalonamento automático conforme carga.
- Fonte de Dados: Conteúdo didático multidisciplinar licenciado e bases públicas de conhecimento educacional.
- Privacidade: Dados dos alunos armazenados criptografados, com políticas estritas de acesso e anonimização para uso em treinamentos futuros.
- Escalabilidade: Arquitetura microsserviços para suportar alto volume de requests e processamento paralelo, com otimização de uso de memória e balanceamento de carga.
- Versionamento: Controle rigoroso de versões de prompts e modelos via repositórios Git e pipelines automatizados para treinamento e deployment.

Problema específico detectado: falhas na integração via API com LMS, resultando em desatualização do progresso do aluno em 25% dos casos quando há atualização de conteúdo ou mudança de turmas. 

Dados adicionais apontam que 15% dos clientes com integração ativa foram afetados, com impacto financeiro estimado em R$ 85.000,00 nos últimos 30 dias devido a retrabalho e suporte técnico intensivo. O problema ocorreu 47 vezes nas últimas 3 semanas, sobretudo entre 18h e 23h, horário de maior volume de atualizações simultâneas. Os erros são atribuídos a timeouts frequentes e inconsistências na sincronização dos endpoints RESTful, causando lapsos de 6 a 12 horas na atualização dos registros de progresso.",2025-04-18,Alta
Carlos Eduardo Silva,carlos.silva@banco.com.br,FinBrain,"O cliente Carlos Eduardo Silva reporta que a API de integração com ERPs financeiros apresenta um tempo de resposta elevado durante horários de pico, especificamente entre 11:00 e 14:00 horas, resultando em atrasos na atualização dos dados para aproximadamente 35% dos usuários corporativos da instituição financeira. Esse problema tem ocorrido em média 12 vezes nas últimas duas semanas, impactando diretamente a atualização dos dashboards gerenciais e causando atraso na geração de relatórios financeiros críticos para tomada de decisão, estimando-se um impacto financeiro indireto de até R$ 150.000 mensais devido a atrasos em processos de conciliação e análise de risco. A latência média registrada durante os picos chega a 8 segundos por requisição, comparado com o SLA interno de 2 segundos, comprometendo a experiência dos usuários executivos, controllers e analistas que dependem dos dados atualizados em tempo real para operações diárias.",2025-04-15,Alta
Lucas Oliveira Schmidt,lucas.schmidt@saudeprev.com.br,ClinicaGPT,"O cliente Lucas Oliveira Schmidt, da empresa SaúdePrev, identificou latência de resposta superior a 500ms especificamente em ambientes de alta carga, o que impacta negativamente consultas emergenciais e a elaboração de documentos clínicos rápidos. Dados coletados indicam que este problema afeta aproximadamente 12% dos usuários simultâneos na plataforma, ocorrendo principalmente entre 18h e 22h, horários de pico na área hospitalar. Foram registradas 87 ocorrências nas últimas duas semanas, com picos de latência atingindo até 850ms. Essa degradação na performance resulta em atrasos críticos na geração automática de documentos como notas de evolução e prescrições médicas, aumentando o tempo médio de consulta em até 25%, o que pode comprometer decisões clínicas ágeis. O impacto financeiro estimado para SaúdePrev é de R$45.000 mensais em custos operacionais adicionais e potenciais perdas em contratos de SLA. O time técnico reporta que a causa provável está relacionada à sobrecarga dos contêineres Kubernetes durante escalonamento automático, afetando o balanceamento de carga e o cache inteligente, conforme logs estruturados coletados via ELK Stack e métricas do Prometheus.",2025-04-15,Alta
